"endTime","artistName","trackName","msPlayed"
"2019-09-23 11:58","NF","My Stress","0"
"2019-09-23 11:58","NF","WHY","446"
"2019-09-23 11:58","NF","Dreams","92699"
"2019-09-23 11:58","NF","Only One","696"
"2019-09-23 11:58","NF","Mansion","0"
"2019-09-23 11:58","NF","Lost In The Moment","190"
"2019-09-23 11:58","NF","Green Lights","0"
"2019-09-23 11:58","NF","Lie","0"
"2019-09-23 12:00","NF","My Stress","78269"
"2019-09-23 12:00","NF","Mansion","683"
"2019-09-23 12:05","NF","Mansion","297573"
"2019-09-23 12:05","NF","Leave Me Alone","744"
"2019-09-23 12:08","NF","The Search","190264"
"2019-09-23 12:09","NF","Leave Me Alone","101279"
"2019-09-23 12:12","NF","Let You Down","151403"
"2019-09-23 12:13","NF","Let You Down","2120"
"2019-09-23 15:08","NF","Let You Down","40819"
"2019-09-23 15:13","NF","If You Want Love","0"
"2019-09-23 15:13","NF","The Search","0"
"2019-09-23 15:13","NF","Leave Me Alone","243199"
"2019-09-23 15:16","NF","When I Grow Up","176438"
"2019-09-23 15:18","Eminem","Lucky You (feat. Joyner Lucas)","233660"
"2019-09-27 15:03","NF","Therapy Session","1522"
"2019-09-27 15:03","NF","Leave Me Alone","73375"
"2019-09-27 15:04","NF","10 Feet Down","6004"
"2019-09-27 15:04","NF","Just Being Me","908"
"2019-09-27 15:04","NF","Only One","3420"
"2019-09-27 15:04","NF","Hands Up","3252"
"2019-09-27 15:05","NF","Grindin'","942"
"2019-09-27 15:05","NF","Only","730"
"2019-09-27 15:05","NF","My Life","63595"
"2019-09-27 15:05","NF","Time - Edit","617"
"2019-09-27 15:05","NF","Dreams","608"
"2019-09-27 15:05","NF","Oh Lord","1592"
"2019-09-27 15:05","NF","Trauma","815"
"2019-09-27 15:05","NF","Time - Edit","492"
"2019-09-27 15:05","NF","Lie","3617"
"2019-09-27 15:08","NF","Let You Down","196866"
"2019-09-27 15:08","NF","No Excuses","841"
"2019-09-27 15:08","NF","How Could You Leave Us","446"
"2019-09-27 15:09","NF","Can You Hold Me","0"
"2019-09-27 15:09","NF","Intro","0"
"2019-09-27 15:09","NF","Got You On My Mind","0"
"2019-09-27 15:09","Futuristic","Epiphany (feat. NF)","0"
"2019-09-27 15:09","NF","Warm Up","0"
"2019-09-27 15:09","NF","Thing Called Love","0"
"2019-09-27 15:09","NF","Mansion","564"
"2019-09-27 15:09","NF","Lost In The Moment","217"
"2019-09-27 15:09","NF","Green Lights","0"
"2019-09-27 15:11","NF","Nate","831"
"2019-09-27 15:11","NF","When I Grow Up","2662"
"2019-09-27 15:11","NF","Paralyzed","733"
"2019-09-27 15:11","NF","Change","1337"
"2019-09-27 15:11","NF","Remember This","857"
"2019-09-27 15:11","NF","If You Want Love","0"
"2019-09-27 15:11","NF","All I Have","916"
"2019-09-27 15:11","NF","Like This","272"
"2019-09-27 15:11","NF","My Stress","137949"
"2019-09-27 15:11","NF","-Interlude-","0"
"2019-09-27 15:11","NF","Wake Up","1355"
"2019-09-27 15:11","NF","Destiny","547"
"2019-09-27 15:14","NF","I Miss The Days","1245"
"2019-09-27 15:14","NF","Notepad","333"
"2019-09-27 15:14","NF","Time","134537"
"2019-09-27 15:14","NF","Real","871"
"2019-09-27 15:14","NF","NO NAME","2692"
"2019-09-27 15:17","NF","Let Me Go","206184"
"2019-09-27 15:18","NF","Thinking","42143"
"2019-09-28 12:52","NF","My Life","215600"
"2019-09-28 12:58","NF","All I Have","248213"
"2019-09-28 13:02","NF","Remember This","240386"
"2019-09-28 13:07","NF","Wake Up","232960"
"2019-09-28 13:11","NF","Like This","207640"
"2019-09-28 13:14","NF","Green Lights","181866"
"2019-09-28 13:17","NF","10 Feet Down","217106"
"2019-09-28 13:21","NF","Intro","199400"
"2019-09-28 13:25","NF","Lost In The Moment","242680"
"2019-09-28 13:28","NF","Warm Up","180506"
"2019-09-28 13:31","NF","Let You Down","212120"
"2019-09-28 13:31","NF","Lie","3742"
"2019-09-28 17:21","NF","Lie","205472"
"2019-09-28 17:22","NF","When I Grow Up","55075"
"2019-09-28 17:22","NF","Time - Edit","1291"
"2019-09-28 17:26","NF","Hate Myself","243481"
"2019-09-28 17:29","NF","No Excuses","201720"
"2019-09-28 17:33","NF","Trauma","247240"
"2019-09-28 17:34","NF","Time - Edit","34708"
"2019-09-28 17:34","NF","Only One","9072"
"2019-09-28 17:38","NF","If You Want Love","975"
